orgname,orgref,superuser,user,password
	fplorg-ey3jj,QHJ78BW,fplorg-ey3jj_superuser@mailinator.com,fpluser13@mailinator.com,Pass19word
fplorg-eyf2m,8PC4OVL,fplorg-eyf2m_superuser@mailinator.com,fpluser257@mailinator.com,Pass19word
fplorg-fx5k5,QRG4FV5,fplorg-fx5k5_superuser@mailinator.com,fpluser20@mailinator.com,Pass19word
fplorg-g7rtz,YJ9YLKD,fplorg-g7rtz_superuser@mailinator.com,fpluser254@mailinator.com,Pass19word
fplorg-gb0gb,63UTEHV,fplorg-gb0gb_superuser@mailinator.com,fpluser255@mailinator.com,Pass19word
fplorg-gz51r,7JW2CYN,fplorg-gz51r_superuser@mailinator.com,fpluser381@mailinator.com,Pass19word
fplorg-lpv5i,RBMH3T7,fplorg-lpv5i_superuser@mailinator.com,fpluser14@mailinator.com,Pass19word
fplorg-mpy73,LQ47PMA,fplorg-mpy73_superuser@mailinator.com,fpluser377@mailinator.com,Pass19word
fplorg-n51hv,0OG9M25,fplorg-n51hv_superuser@mailinator.com,fpluser375@mailinator.com,Pass19word
fplorg-nanfg,4T7JYBL,fplorg-nanfg_superuser@mailinator.com,fpluser256@mailinator.com,Pass19word
fplorg-njna6,0S3939L,fplorg-njna6_superuser@mailinator.com,fpluser140@mailinator.com,Pass19word
fplorg-o9gr4,E18H583,fplorg-o9gr4_superuser@mailinator.com,fpluser380@mailinator.com,Pass19word
fplorg-p3m6o,ECG2VEY,fplorg-p3m6o_superuser@mailinator.com,fpluser135@mailinator.com,Pass19word
fplorg-qciur,YC6NNHH,fplorg-qciur_superuser@mailinator.com,fpluser258@mailinator.com,Pass19word
fplorg-r0jz3,8ZDDYKA,fplorg-r0jz3_superuser@mailinator.com,fpluser137@mailinator.com,Pass19word
fplorg-true9,1XRRQPO,fplorg-true9_superuser@mailinator.com,fpluser17@mailinator.com,Pass19word
fplorg-u946p,FO3MA9T,fplorg-u946p_superuser@mailinator.com,fpluser136@mailinator.com,Pass19word
fplorg-um3a8,U3XQQF3,fplorg-um3a8_superuser@mailinator.com,fpluser12@mailinator.com,Pass19word
fplorg-uuqxc,FWS0XLZ,fplorg-uuqxc_superuser@mailinator.com,fpluser134@mailinator.com,Pass19word
fplorg-ve7wc,2LVDC0F,fplorg-ve7wc_superuser@mailinator.com,fpluser383@mailinator.com,Pass19word
fplorg-z3evj,NM94H40,fplorg-z3evj_superuser@mailinator.com,fpluser19@mailinator.com,Pass19word
fplorg-2dddl,DFV84Q8,fplorg-2dddl_superuser@mailinator.com,fpluser151@mailinator.com,Pass19word
fplorg-2dja0,70XTRFU,fplorg-2dja0_superuser@mailinator.com,fpluser389@mailinator.com,Pass19word
fplorg-2mcy3,8E4UF6G,fplorg-2mcy3_superuser@mailinator.com,fpluser28@mailinator.com,Pass19word
fplorg-2o0e1,SYKCI62,fplorg-2o0e1_superuser@mailinator.com,fpluser26@mailinator.com,Pass19word
fplorg-2vunm,GU8DJC0,fplorg-2vunm_superuser@mailinator.com,fpluser386@mailinator.com,Pass19word
fplorg-335h5,VW5QJD1,fplorg-335h5_superuser@mailinator.com,fpluser148@mailinator.com,Pass19word
fplorg-3epel,KKIN7HV,fplorg-3epel_superuser@mailinator.com,fplorg-3epel_user2@mailinator.com,Pass19word
fplorg-3frxx,MXXU8KQ,fplorg-3frxx_superuser@mailinator.com,fpluser25@mailinator.com,Pass19word
fplorg-4t5bo,RK4YQ24,fplorg-4t5bo_superuser@mailinator.com,fpluser21@mailinator.com,Pass19word
fplorg-6j569,2AWF3XF,fplorg-6j569_superuser@mailinator.com,fpluser142@mailinator.com,Pass19word
fplorg-7ngf3,T8QXVL8,fplorg-7ngf3_superuser@mailinator.com,fpluser271@mailinator.com,Pass19word
fplorg-8ez2d,PTSW1TU,fplorg-8ez2d_superuser@mailinator.com,fpluser384@mailinator.com,Pass19word
fplorg-ashla,8921DOD,fplorg-ashla_superuser@mailinator.com,fpluser149@mailinator.com,Pass19word
fplorg-8yxgi,QI1NIIY,fplorg-8yxgi_superuser@mailinator.com,fpluser263@mailinator.com,Pass19word
fplorg-byz3y,4IT2ATL,fplorg-byz3y_superuser@mailinator.com,fpluser269@mailinator.com,Pass19word
fplorg-ea5q8,06IKESF,fplorg-ea5q8_superuser@mailinator.com,fpluser388@mailinator.com,Pass19word
fplorg-eqvnd,DKD6KLC,fplorg-eqvnd_superuser@mailinator.com,fpluser270@mailinator.com,Pass19word
