orgname,orgref,superuser,user,password
probateorg-cynse,4FWZF89,probateorg-cynse_superuser@mailinator.com,probateuser141@mailinator.com,pass19word
probateorg-rkdk8,3ZZADTB,probateorg-rkdk8_superuser@mailinator.com,probateuser142@mailinator.com,pass19word
probateorg-xd8i8,T903RMT,probateorg-xd8i8_superuser@mailinator.com,probateuser143@mailinator.com,pass19word
probateorg-2h24t,J3D388Y,probateorg-2h24t_superuser@mailinator.com,probateuser144@mailinator.com,pass19word
probateorg-fj2kb,WGF27SE,probateorg-fj2kb_superuser@mailinator.com,probateuser145@mailinator.com,pass19word
probateorg-cynse,4FWZF89,probateorg-cynse_superuser@mailinator.com,probateuser146@mailinator.com,pass19word
iacorg-zy64n,EP8PH7X,iacorg-zy64n_superuser@mailtest.co.uk,iacorg-zy64n_user334@mailtest.co.uk,Pass19word
iacorg-0c4ei,PL6FIEF,iacorg-0c4ei_superuser@mailtest.co.uk,iacorg-0c4ei_user366@mailtest.co.uk,Pass19word
iacorg-0cxjn,MK8OK0D,iacorg-0cxjn_superuser@mailtest.co.uk,iacorg-0ofju_user510@mailtest.co.uk,Pass19word
iacorg-0ofju,8V73R5G,iacorg-0ofju_superuser@mailtest.co.uk,iacorg-0rlaz_user37@mailtest.co.uk,Pass19word
iacorg-0rlaz,FW62E2U,iacorg-0rlaz_superuser@mailtest.co.uk,iacorg-10tqt_user247@mailtest.co.uk,Pass19word
iacorg-10tqt,PL6FIEF,iacorg-10tqt_superuser@mailtest.co.uk,iacorg-1gq6r_user468@mailtest.co.uk,Pass19word
iacorg-1gq6r,F4HB067,iacorg-1gq6r_superuser@mailtest.co.uk,iacorg-1gq6r_user473@mailtest.co.uk,Pass19word
iacorg-1hmhe,TYH0T39,iacorg-1hmhe_superuser@mailtest.co.uk,iacorg-1hmhe_user387@mailtest.co.uk,Pass19word
iacorg-1miuu,NXM1LS9,iacorg-1miuu_superuser@mailtest.co.uk,iacorg-1miuu_user439@mailtest.co.uk,Pass19word
iacorg-1nora,V3IAY1Q,iacorg-1nora_superuser@mailtest.co.uk,iacorg-1oih1_user157@mailtest.co.uk,Pass19word
iacorg-1oih1,MK8OK0D,iacorg-1oih1_superuser@mailtest.co.uk,iacorg-2buwg_user140@mailtest.co.uk,Pass19word
iacorg-2azt8,7WDN00G,iacorg-2azt8_superuser@mailtest.co.uk,iacorg-2nuwk_user616@mailtest.co.uk,Pass19word
iacorg-2buwg,380ZZJT,iacorg-2buwg_superuser@mailtest.co.uk,iacorg-2rl15_user516@mailtest.co.uk,Pass19word
iacorg-2nuwk,F9S4SXP,iacorg-2nuwk_superuser@mailtest.co.uk,iacorg-2t5m9_user399@mailtest.co.uk,Pass19word
iacorg-2t5m9,E44NQWD,iacorg-2t5m9_superuser@mailtest.co.uk,iacorg-32l3v_user657@mailtest.co.uk,Pass19word
iacorg-2wet6,UPEZOU8,iacorg-2wet6_superuser@mailtest.co.uk,iacorg-32l3v_user662@mailtest.co.uk,Pass19word
iacorg-2ylha,H1Q2A07,iacorg-2ylha_superuser@mailtest.co.uk,iacorg-32l3v_user667@mailtest.co.uk,Pass19word
